id,Extractor,Identifier,Title,Venue,Year,Exclude,SR,SD,SC,ST,SM,SCM,SEM,SEP,SEMM,SQ,SEPP,SEE,CF,MF,EF,Theory,Cognitive Concepts,Cognitive Measures,Assessment,Added Value of Cognitive Aspect,Academia,Industry,Solution Proposal (example),Empirical Study,Experience Papers,Philosophical Papers,Opinion Papers,Unnamed: 34,Attention,Selective attention,Divided attention,Sustained attention,Memory,Working memory,Short-term memory,Long-term memory,Cognitive load,Intrinsic CL,Extrinsic CL,Emotion,Motivation,Intrinsic motivation,Extrinsic motivation,Stress,Reward,Appr. avoid. motiv.,Arousal,Attitude,Perception,Problem solving,Reasoning,Decision making,Errors,Cognitive biases,Knowledge,Explicit knowledge,Tacit knowledge,Techn. tacit knowl.,Cogn. tacit knowl.,Cognitive control,Executive functions,Inhibition,Unnamed: 69,Qualit. measures,Fieldwork,Interview,Task-based,Open observation,Quantit. measures,Task performance,Physiological meas.,Subjective ratings,Behavioral meas.
189,Robert,Tang2011,"Software designers, are you biased?",Proceedings - International Conference on Software Engineering,2011,,,1,,,,,,,,,,,,,,,Cognitive bias,N/A,N/A,Basis for review and discussion in paper.,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
190,Michael F.,Teasley1994,The effects of naming style and expertise on program comprehension,International Journal of Human - Computer Studies,1994,,,,1,,,,,,,,,,,,,Pennington's Model of Program Comprehension,Program Comprehension,"Understanding of Functions, Control Flow, Data Flow, State, Operations",Questionnaire on Program Comprehension,Understanding of program comprehension,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,
191,Michael U.,Teasley1994,Why software testing is sometimes ineffective: Two applied studies of positive test strategy,Journal of Applied Psychology,1994,,,,,1,,,,,,,,,,,,,Confirmation bias,Proportion between test sets that use data that confirms/not confirms the test hypothesis,Task based,"Side aspect, but througout the paper",1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,
192,Michael U.,Tegarden2001, Cognitive activities in OO development ,International Journal of Human-Computer Studies,2001,,,1,,,,,,,,,,,,,,,"Cognitive activities related to problem understanding, decomposition and solution development",None defined,Cognitive mapping with Self-Q technique (development of a group cognitive map that was analyzed by givens means ends analysis) ,Central to the paper,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,
193,Robert,Tessem1997,Analogy and complex software modeling,Computers in Human Behavior,1997,1,,1,1,,,,,,,,,,,,,"Theories for human problem solving, Theories for memory retreival of similar situations",,,,"Critical to the design of their tool, it is based on reuse by identifying analogies between old design/system and new one.",1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Bogdan M.,Thummadi2011,Quality in Requirements Engineering (RE) Explained Using Distributed Cognition: A Case of Open Source Development,Working Papers on Information Systems,2011,1,1,,,,,,,,,,,,,,,Distributed cognition (Hutchins),"Social, Structural, and Temporal distributed cognition",,,Central to the paper,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Robert,Toomim2004,Managing duplicated code with linked editing,Proceedings - 2004 IEEE Symposium on Visual Languages and Human Centric Computing,2004,,,,1,,,,,,,,,,,,,"Green & Blackwell ""Abstract thinking is hard""",Cognitive cost,"Not really, indirectly measured via time to complete task and subjectively assessed ""Effort"".",Objective time measurement + Likert scale questionnaire.,Basis for proposed tool.,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
196,Bogdan M.,Tracz1979,Computer programming and the human thought process,Software: Practice and Experience,1979,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,1,,1,,,,,,,,,,,,,,,
197,Bogdan M.,Treude2010,"Awareness 2.0: Staying aware of projects, developers and tasks using dashboards and feeds",Conference on Software Engineering,2010,1,,,,,,,1,1,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Michael U.,Tudoreanu2003,Designing Effective Program Visualization Tools for Reducing User's Cognitive Effort,Proceedings of ACM Symposium on Software Visualization,2003,,,,,1,,,,,,,,,,,,,Cognitive economy: minimize cognitive load while maximizing information pertinent to the user problem.,None,"There is some limited discussion about two experiments but it is unclear what the participants were and how many. Their task performance was evaluated, answering questions related to a program, but it is unclear what they had to do and what the questions were...",Central to the paper.,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
199,Michael F.,Unkelos-Shpigel2015,Gamifying software development environments using cognitive principles,CEUR Workshop Proceedings,2015,1,,,1,,,,,,,,,,,,,"Self Determination Theory
Theory of FlowGroup 
Flow Theory",,,,Cognitive principles provide basis for gamification,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Fabian F.,Urbach2010,Extending the job design perspective on individual innovation: Exploring the effect of group reflexivity,Journal of Occupational and Organizational Psychology,2010,1,,,,,,,,,,,1,,,,,,Job design (esp. role of work and task characteristics for innovation activities),"Ideation
Implementation
Task complexity
Method control
Group reflexivity",Questionnaire,Central to the study,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Michael F.,Vasilescu2016,The sky is not the limit: Multitasking across github projects,Proceedings - International Conference on Software Engineering,2016,,,,1,,,,,,,,,,,,,,Cognitive cost,Multitasking,"Measreument of Average Projects Per Day to which Programmer commits
Reasons for multitasking
Productivity effects",,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,
202,Bogdan M.,Vessey1985,Expertise in debugging computer programs: a process analysis,Journal of Man–Machine Studies,1985,,,,,,1,,,,,,,,,,,,Chunking. ,"Verbalization.
Chunking: debugging functions, flow of problem solving approaches. 
","Time taken, number of words uttered, vebalization rate
Total time, time to error, number of major phases, number of episodes, avg time per episode
System thinking, depth-first search for error, order of investigated modules.",,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
203,Fabian F.,vonMayrhauser1993a,From program comprehension to tool requirements for an industrial environment,Proceedings of the 2nd Workshop on Program Comprehension,1993,,,,,,1,,,,,,,,,,,,"Code comprehension
- Theory/model of code comprehension formed by combining existing theories/models and empirical results",Verification of proposed model of code comprehension,Think aloud protocol during code comprehension task with real industry code that participants were familiar with,"Central to the study
The study contributes to the development of the cognitive aspect (model of code comprehension)",,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,1,,,,,,
204,Fabian F.,vonMayrhauser1994,Comprehension processes during large scale maintenance,Proceedings of the 16th International Conference on Software Engineering,1994,,,,,,1,,,,,,,,,,,,"Code comprehension
- Theory/model of code comprehension by vonMayrhauser1993a",Verification of proposed model of code comprehension,Think aloud protocol during code comprehension task with real industry code that participants were familiar with,"Central to the study
The study contributes to the development of the cognitive aspect (model of code comprehension)",,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,1,,,,,,
205,Michael F.,vonMayrhauser1996a,On the Role of Program Understanding in Re-engineering Tasks,IEEE Aerospace Applications Conference,1996,,,,1,,1,,,,,,,,,,,Code Comprehension Model,"Long-Term Memory
Knowledge Structure
Program comprehension
Cognitive load
Cognitive process",reengineering task frequencies,,program understanding to imporve reengineering tasks based on cognitive processes,,1,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
206,Michael F.,vonMayrhauser1996b,On the Role of Hypotheses during Opportunistic Understanding While Porting Large Scale Code,"IEEE International Conference on Program Comprehension, ICPC",1996,,,,1,,1,,,,,,,,,,,,"Program comprehension
Cognitive load
Cognitive process",task frequencies,,Investigation of importance of goals and hypotheses for program understanding,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
207,Michael F.,vonMayrhauser1996c,Identification of Dynamic Comprehension Processes During Large Scale Maintenance,IEEE Transactions on Software Engineering,1996,,,,1,,1,,,,,,,,,,,Code Comprehension Model,"Long-Term Memory
Knowledge Structure
Program comprehension
Cognitive load
Cognitive process",,audio recording,understanding of comprehension processes during maintenance,,1,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
208,Michael U.,VonMayrhauser1997,Program understanding behaviour during enhancement of large-scale software,Journal of Software Maintenance: Research and Practice,1997,,,,,,1,,,,,,,,,,,Integrated Comprehension model (theory on how programmers try to understand code),"Short/Long term memory, understanding process",There are no measures but the actions of programmers are classified and quantified in order to describe understanding process patterns.,Task based (protocol analysis of recorded actions performed by observed subjects),Central to the paper.,,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
209,Michael F.,vonMayrhauser1997a,Program Understanding Needs During Corrective Maintenance of Large Scale Software,"IEEE Computer Software and Applications Conference, COMPSAC",1997,,,,1,,1,,,,,,,,,,,Code Comprehension Model,"Long-Term Memory
Knowledge Structure
Program comprehension
Cognitive load
Cognitive process",,audio recording,understanding of comprehension processes during maintenance,,1,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
210,Michael F.,vonMayrhauser1997b,Hypothesis-Driven Understanding Processes During Corrective Maintenance of Large Scale Software,"IEEE International Conference on Software Maintenance, ICSM",1997,,,,1,,1,,,,,,,,,,,Code Comprehension Model,"Long-Term Memory
Knowledge Structure
Program comprehension
Cognitive load
Cognitive process",,audio recording,understanding of comprehension processes during maintenance,,1,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
211,Michael F.,Walenstein2003,Observing and Measuring Cognitive Support: Steps Toward Systematic Tool Evaluation and Engineering,"IEEE International Workshop on Program Comprehension, IWPC",2003,,,,1,,,,,,,,,,,,,Distributed Cognition Theories,"Cognitive support
Program comprehension",,"screen recording software
activity recording","Analysis of cognitive support
Insights into how programmers and tools cooperate",,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1
212,Fabian F.,Walia2013,Using error abstraction and classification to improve requirement quality: Conclusions from a family of four empirical studies,Empirical Software Engineering,2013,,1,,,,,,,,,,,,,,,,Cognitive errors,Errors and faults found (absolute amount and amount over time),Evaluation of proposed method in selected tasks,Central to parts of the study,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
213,Fabian F.,Wanderley2015,Evaluation of BehaviorMap: A user-centered behavior language,Proceedings - International Conference on Research Challenges in Information Science,2015,,1,,,,,,,,,,,,,,,Cognitive load,Cognitive effort,Cognitive effort,"Questionnaire (NASA-TLX)
Time (duration)",Central to the study,?,?,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
214,Bogdan M.,Weidenbeck1986,Beacons in computer program comprehension,Journal of Man–Machine Studies,1986,,,,,,1,,,,,,,,,,,"Data driven comprehension (Shneiderman & Mayer 1979; Basili & Mills 1982)
Conceptually driven (Brooks 1983)",Program comprehension,Beacons,"Memorization of a program and a one-sentence summary.
Ability to correctly identify function.
Number of beacon and non-beacon lines recalled.",,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
215,Bogdan M.,Weidenbeck1991,The initial stages of program comprehension,Journal of Man–Machine Studies,1991,,,,,,1,,,,,,,,,,,,"Program comprehension, 
Programming plans",Beacons,"Described program function (\w assessment of own confidence)
Program recall,
",,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,1,
216,Fabian F.,Wein1992,Visual support for version management,Applied Computing: Technological Challenges of the 1990's,1992,,,,,,,1,,,,,,,,,,Cognitive load,,,,Provides a conceptual framework for the study,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Bogdan M.,Welty1981,Human Factors Comparison of a Procedural and a Non-Procedural Query Language,ACM Trans. Database Systems,1981,,,,1,,,,,,,,,,,,,,,Corectness of resulting programs,"9-point scale of correctness, 
final and retention exams",,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,
218,Bogdan M.,Whatton1992,"Applying cognitive walkthroughs to more complex user interfaces: Experiences, issues, and recommendations",CHI,1992,1,,,1,,,,,,,,,,,,,"Exploratory learning
Learning by doing",Cognitive Walkthrough,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Fabian F.,White2005,Cognitive differences between procedural programming and object oriented programming,Information Technology and Management,2005,,,,1,,,,,,,,,,,,,,"Hemispheric brain dominance (hemisphericity)
Piaget's theory of cognitive development","Cognitive hemispheric dominance
Level of cognitive development (Piaget)","Hemispheric Mode Indicator
Propositional Logic Test",Central to the study,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,1,,1,
220,Fabian F.,Wiedenbeck1993,Characteristics of the mental representations of novice and expert programmers: an empirical study,International Journal of Man.-Machine Studied,1993,,,,,,,,,,,,1,,,,,,Several findings regarding the abstract characteristics of mental representations are discussed,"Abstract characteristics of mental representations of programs
- Hierarchically structured mental representations
- Explicit mappings between layers of the representation
- The use of recurring basic patterns for knowledge representation
- Well-connected representation enhancing understanding of how parts of the program interact
- Representations well-grounded in the program text enhancing the localisation of structures and operations","Experimental task
- Reading a 135 line Pascal program.
- Answering questions that investigate the five abstract characteristics.
- The questions ask the participant to, e.g. match procedure names to the procedures they call, listing procedure names, writing descriptions of goals (of procedures and entire program), labelling code segments, listing names used for the same data objects in different program units, listing important variable names, filling in names of program units in a program outline, matching variable names to procedures where they occur, and indicating physical location of invariant program parts.
- Evaluation of questions/task results by two independent judges.",Central to the study,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1?,,,,,,,,,,,,,,,,,,,,1,,,
221,Michael F.,Wirfs-Brock2007,Giving design advice,IEEE Software,2007,,,1,,,,,,,,,,,,,,,Cognitive biases,,,role of cognitive biases in communicating design advices,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
222,Fabian F.,Wong2006,On evaluating the layout of UML diagrams for program comprehension,Softw. Qual. J.,2006,,,,,,,,,,,,1,,,,,"Theories of perception
Theories of perceptual organisation
Theories of perceptual segregation","(Visual) perception
- Cognitive functions as filters on raw visual stimuli (Marr, 1982)
- Attention shifting based on structure of environment (Gibson, 1979)
- Gestalt theory (Benjafield, 1992; Moore & Fitz, 1993)
- Theory of notation (Petre, Blackwell & Green, 1998)
Perceptual organisation (Boff, Kaufman & Thomas, 1896)
- Law of good figure (Prägnanz, Schiffman, 2001)
- Law of similarity
- Law of continuation
- Law of proximity
- Law of connectedness
- Law of familiarity
Perceptual segregation (Goldstein, 2002)
- Law of symmetry
- Law of orientation
- Law of contour (Kimchi, Berhmann & Olson, 2003)","Several criteria for assessing the different aspects of visual perception, perceptual organisation, and perceptual segregation in UML diagrams",Judgement based on the criteria,Central to the study,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
223,Michael F.,Xiao2013,'Computing' requirements in open source software projects,International Conference on Information Systems (ICIS 2013): Reshaping Society Through Information Systems Design,2013,,1,,,,,,,,,,,,,,,Taxonomy of Cognitive Functions,Cognitive Workload,"Cognitive Functions including Computation, Problem Sovling, Perception, Communication, Decision Making, Memory",,Measurement of distribution of cognitive workload to define suitable countermeasures,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
224,Michael F.,Xie2011,Idea: Interactive support for secure software development,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2011,,,,1,,,,,,,,,,,,,Cognitive Load,"skill-based breakdown,
rule-based breakdown,
knowledge-based breakdown",,Program Errors,Linking program errors and cognitive aspects,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
225,Robert,Xu2010,Programming expertise during incremental software development: An empirical study,Studies in Computational Intelligence,2010,,,1,1,1,,,,,,,,,,,,,"Expertise, Cognitive activity complexity",Bloom's taxonomy of cognitive levels,Classify activities of programmers using Bloom's taxonomy,Central to paper.,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
226,Michael U.,Yang1996,Design benchmarks for VPL static representations,"IEEE Symposium on Visual Languages, Proceedings",1996,1,,,1,,,,,,,,,,,,,,"Cognitive dimensions (whereby it is not clear what these dimensions are, the paper is short)",Several proxy measures on the presentation of visual programming languages,None,Central to the paper,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Michael F.,Yusuf2007,Assessing the Comprehension of UML Class Diagrams via Eye Tracking,"IEEE International Conference on Program Comprehension, ICPC",2007,,,1,,,,,,,1,,,,,,,,Class diagram comprehension,fixations,"eye tracking
audio recording",comprehension of UML class diagrams,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,
228,Michael U.,Zayour2001,Adoption of reverse engineering tools: A cognitive perspective and methodology,Proceedings - IEEE Workshop on Program Comprehension,2001,,,,,,1,,,,,,,,,,,,"Cognitive load, working memory capacity",None,None,Central to the paper,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Fabian F.,Zayour2013,Complexity is in the brain of the beholder: A psychological perspective on software engineering's ultimate challenge,Journal of Software,2013,,,,1,,1,,,,,,1,,,,,Cognitive load,Working memory,Identification of cognitive overload,Observation,Central to the study,,1,,1,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
230,Robert,Zhan2012,Impact of software complexity on development productivity,International Journal of Software Engineering and Knowledge Engineering,2012,1,,,,,,,1,1,,,,,,,,"Cognitive learning theory, Yerkes-Dodson law, theory of activation",,Measures are non-cognitive: productivity (Loc/hour) and complexity (5-point likert scale),,Important to motivation and basis for the study but not essential. The same study could have been done without the cognitive connection imho since measures are not cognitive per se.,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Michael U.,Zhou2010,Developer fluency: Achieving true mastery in software projects,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,2010,,,,,,,,1,,,,,,,,,,"Not sure if developer fluency is a cognitive concept. It is defined as:  the ability to complete project tasks
rapidly and accurately independent of task difficulty or importance.  ",Developers' learning curves,"Quantitative measures on task performance extracted from source control, bug reporting and human resources systems

Qualitative estimates of task difficulty and centrality (importance)","Marginally touched upon, but not the focus at all.",,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
232,Michael F.,Zhuge1997,Abstraction and analogy in cognitive space: A software process model,Information and Software Technology,1997,,,,,,,,,1,,,,,,,,Cognitive Space Model,"Cognitive Space
Knowledge content
Cognitive growth",,,integration of cognitive and development process to enhance developers' cognitive skills,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
233,Michael F.,Zhuge2003,Workflow- and agent-based cognitive flow management for distributed team Cooperation,Information & Management,2003,,,,,,,,1,,,,1,,,,,Cognitive Flow Model,"Cognitive flow
Cognitive node",,,"improvmement of distributed team cooperation, duration of task,
match degree of team",,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,
234,Michael U.,Zugal2012,Assessing the impact of hierarchy on model understandability - A cognitive perspective,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2012,,,1,,,,,,,,,,,,,,Cognitive Load Theory,"Cognitive problem solving processes: search, recognition and inference

Working memory and mental effort","Model understandability, estimated by time to answer and accuracy",Questions about model,Central to the paper,,,,,,1,,1,,,1,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,
235,,,,,,235 (217/18),,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
