Extractor;Identifier;Title;Venue;Year;Exclude;SR;SD;SC;ST;SM;SCM;SEM;SEP;SEMM;SQ;SEPP;SEE;CF;MF;EF;Theory;Cognitive Concepts;Cognitive Measures;Assessment;Added Value of Cognitive Aspect;Academia;Industry;Solution Proposal (example);Empirical Study;Experience Papers;Philosophical Papers;Opinion Papers;"Outcome
Contribution





";;Attention;Selective attention;Divided attention;Sustained attention;Memory;Working memory;Short-term memory;Long-term memory;Cognitive load;Intrinsic CL;Extrinsic CL;Emotion;Motivation;Intrinsic motivation;Extrinsic motivation;Stress;Reward;Appr. avoid. motiv.;Arousal;Attitude;Perception;Problem solving;Reasoning;Decision making;Errors;Cognitive biases;Knowledge;Explicit knowledge;Tacit knowledge;Techn. tacit knowl.;Cogn. tacit knowl.;Cognitive control;Executive functions;Inhibition;;Qualit. measures;Fieldwork;Interview;Task-based;Open observation;Quantit. measures;Task performance;Physiological meas.;Subjective ratings;Behavioral meas.
Fabian F.;Shneiderman1979;Syntactic/semantic interactions in programmer behavior: a model and experimental results;International Journal of Computer and Information Sciences;1979;;;;1;1;1;;;;;;;;;;;;"Short-term memory
Long-term memory
Working memory
Cognitive structure:
- Semantic knowledge
- Syntactic knowledge
Cognitive processes involving problem-solving:
- Program composition
- Program comprehension
- Debugging and modification
- Learning (acquisition of programming knowledge)";"Comprehensibility of programming structures
Program code recall
Effect of comments and variable naming on comprehension
Effect of modularity on program comprehension
Effect of flowcharts on program composition, comprehension, debugging, and modification";Experimental tasks;Central to the study;1;1;;1;;;;"The paper constructs a cognitive model of human programmers based on psychological theory and concepts. Experiments are presented that match with predictions derived from the model. However, it is not claimed that the model is final; more validating experiments are called for.";1;;;;;;1;1;1;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;
Fabian F.;Shull2013;Engineering values: From architecture games to agile requirements;IEEE Software;2013;;1;1;1;;;;;;;;;;;;;;Cognitive biases;;;;;;;;;;1;This is an editor's column discussing broadly cognitive biases, arguing for the importance of considering them. Anecdotal examples are given.;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Michael U.;Shum1997; Graphical argumentation and design cognition;Human-Computer Interaction;1997;;;1;;;;;;;;;;;;;;;Cognitive overhead (broken down into tasks: unbundling, classification, naming, structuring) when using a particular approach to record design rationales;None;None;Side aspect, but througout the paper;;;;1;;;;Borderline paper. It is about cognitive aspects when designing software but there is no assessment or concrete measures. Also, Study A in the paper, which is the most relevant, is better described in an other paper we don't include yet.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Shum2006;Hypermedia support for argumentation-based rationale;Rationale Management in Software Engineering;2006;;;1;;;;;;;;;1;;;;;Cognitive overhead;;;;Motivates the difficulties involved in recording design rationale.;;;1;;;;;The paper proposes a tool for helping to record design rationale.;1;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Bogdan M.;Siau1996;When Parents Need Not Have Children — Cognitive Biases in Information Modeling;Advances Information System Engineering;1996;;1;;;;;;;;;;;;;;;;cognitive biases;Interpretation task: choice of interpretation, confidence level, perceived familiarity with the domain;Confidence and percived familiarity self assessed (scale from 1 to 7);Central to the paper;1;;;1;;;;subjects were biased towards an intepretation based on syntactic information (rather than semantic) when this was available. The existance of structural constraints in the information model increases confidence level and perceived familiarity.;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;
Robert;Siau2004;Informational and Computational Equivalence in Comparing Information Modeling Methods;Journal of Database Management;2004;;;1;;;;;;;;;;;;;;Human info processing, Herbert Simon's Theory of equivalence of representations;ACT architecture of types of memory;N/A;N/A;Central to paper.;1;;1;;;;;A new model for viewing modeling approaches in SE. Theoretical paper proposing the model, no empirical data.;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bogdan M.;Siau2005;Technical communication in information systems development: the use of cognitive mapping;Transactions on Professional Communication;2005;1;1;1;1;;;;;;;;;;;;;;cognitive mapping techniques( causal, semantic, and concept mapping);;;Central to the paper;1;;1;;;;;Paper argues for the involvement of technical communicators in the development of information systems: acting as user advocates, writing online help and error messages, and providing advice on interface design. Three cognitive mapping techniques are introduced to facilitate the involvement of technical communicators in the devleopment process. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael F.;Siau2010;Important characteristics of software development team members: an empirical investigation using Repertory Grid;Information Systems Journal;2010;;;;;;;;1;;;;;;;;;;Cognitive Abilities;"Ability to make decisions
Learning Ability
Independence of work";;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Michael U.;Siddiqi1988;Models of programmer behaviour: A comparative study;Proceedings - IEEE Computer Society's International Computer Software {\&} Applications Conference;1988;;;;1;;;;;;;;;;;;;Text understanding theory (Hayes and Simon, 1974);Looks at 3 models of problem solving when designing an algorithm.;No real measures, but rather a classification of programmers activities in problem understading, solution formulation and elaboration based on the observed programmers' behavior.;None;Central to the paper.;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;
Bogdan M.;Siegmund2012;Toward Measuring Program Comprehension with Functional Magnetic Resonance Imaging;Symposium Foundations of Software Engineering;2012;;;;;;1;;;;;;;;;;;;Program comprehension, Functional magnetic resonance imaging;Computing the output of code snippets;Correctness of output;Central to the paper;;;;1;;;;An fMRI experiment is proposed and designed. The experiment was ongoing at the time of writing.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;
Michael U.;Siegmund2014;Understanding understanding source code with functional magnetic resonance imaging;Proceedings - International Conference on Software Engineering;2014;;;;;;1;;;;;;;;;;;;Cognitive processes, identified by activation of certain areas in the brain (Brodmann areas). Processes activated by program comprehension are: working memory, attention, language comprehension.;Program comprehension;Brain area activation (fMRI);Central to the paper.;1;;;1;;;;Based on the empirical results showing which cognitive processes take part in program comprehension, a model is created which can be used to design support/improve program comprehension tasks.;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
Fabian F.;Sime1973;Psychological evaluation of two conditional constructions used in computer languages;International Journal of Man–Machine Studies;1973;;;;1;;;;;;;;;;;;;;"Memory (short-term)
Memory (load)
Miller & Chomsky model of (natural) language";Effectiveness of nested and branched conditional structure of programming languages among novices;"Controlled experiment comparing two synthetic mini-languages wrt. conditional structure
- Time taken to complete task
- Semantic errors in program solution";Central to the study;1;;;1;;;;The paper finds based on time taken to complete tasks and semantic errors in solutions that branched conditional (if-then-else) structures is more effective for novices than branched conditional (if-goto) structures. The paper furthermore demonstrates that the experimental method of designing synthetic mini-langauges with the desired features is an effective way of comparing programming language traits.;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
Fabian F.;Sinha1992;Cognitive Fit: An Empirical Study of Recursion and Iteration;IEEE Trans. Software Eng.;1992;;;;1;;;;;;;;;;;;;Cognitive fit;"Mental model (of control flow)
Problem-solving (different kinds of problem-solving models and methods)
Cognitive fit in recursion and iteration";Task and problem representation, control structure (recursion or iteration) use and preference, and their relationship to problem-solving performance;"Experimental tasks
- Choices made in task
- Time taken to complete task
Questionnaire on familiarity and preference of recursive/iterative solutions";Central to the study;1;;;1;;;;"The paper investigates several propositions regarding the relationship between task, problem representation (iterative or recursive), preference and use of control construct (iterative or recursive), and problem-solving performance. The paper finds that ""(i) the effects of programming language on subject performance were considerably stronger than cognitive fit effects; (ii) LISP appears to facilitate coding recursive constructs, while PASCAL and LISP appear to be equally effective in coding iterative constructs; (iii) performance effects of cognitive fit were present for LISP programmers, but not for PASCAL programmers; (iv) cognitive fit of problem representation to task had an effect on performance (in LISP programming) only when the construct and task were mismatched; and (v) performance also improved when subjects used their preferred programming constructs, although these effects appeared to be weaker than those due to cognitive fit"".";1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;1;;1;
Robert;Sinha2015;Reusing business components and objects for modeling business systems: The influence of decomposition characteristics and analyst experience;Journal of Systems and Software;2015;;;1;;;;;;;;;;;;;;Representation theory, Memory models;Cognitive fit, Chunk, Decomposition quality & granularity;Hard to tell really since the actual measures are SE/SW-internal but claimed to be clearly related to cognitive models;Measures on the models given as well as modeling performance (time etc);Argued to be central but I guess this can be discussed, the connection is on a quite theoretical level.;;1;;1;;;;Clear SE conclusions and result about how to better reuse models and architectures.;1;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;
Robert;Snodgrass1988;Software requirements specification from a cognitive psychology perspective;;1988;;1;1;;;;;;;;;;;;;;Cognitive memory models;Conceptual structures such as: Schemata, frames, scripts;N/A;Qualitative study that presents a theory of cognitive processes involved in ReqElicitation. Based on think-aloud protocols and observation of engineers solving early dev tasks.;Central to paper.;;1;;1;;;;Theory of cognitive processes in early sw dev;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Snow2007;The effects of optimistic and pessimistic biasing on software project status reporting;Information & Management;2007;1;;;;;;;1;;;;;;;;;;Intentional biasing (of project status reports);Reporting bias (existence and reasons for);Survey;;;1;;1;;;;The paper investigates (intentional) reporting bias and causes for optimistic and pessimistic biasing. The study distinguishes this from reporting error. It finds that project managers tend to optimistically bias project reports and that only 10-15% of high-risk project reports seem accurate, and that accuracy is achieved only when pessimistic bias offsets reporting errors.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Soloway1983;Cognitive Strategies and Looping Constructs: An Empirical Study;Comm. ACM;1983;;;;1;;;;;;;;;;;;;;Cognitive fit (between programming language constructs and programmer's preferred cognitive strategy);"Which looping construct do people naturally use?
Relationship between preferred looping construct and program correctness
Relationship between language-provided looping construct and program correctness";"Experimental tasks
- Chosen looping construct in program planning task
- Chosen looping construct in programming task
- Analysis of correctness of programs
- Comparison of choices and correctness against provided language constructs and level of experience
";Central to the study;1;;;1;;;;"The paper investigates the preferred looping construct of student programmers and the looping constructs available in two almost identical programming langauges (Pascal and Pascal with a new looping construct). The paper asks what looping strategy people naturally use, whether their programs will be more correct when the language has a looping construct they prefer, and whether the provided looping construct influences program correctness. The paper finds that:
- there is a stronger preference for the READ/PROCESS looping strategy when planning a program (among those whose strategy could be determined),
- there is also a stronger preference for READ/PROCESS when implementing a program,
- a READ/PROCESS looping construct in the language is associated with fewer errors,
- people make fewer errors when they can use their preferred looping construct,
- errors, sensitivity to the provided looping construct, and preference for looping construct can vary with level of experience.
The paper implicitly attempts to generalise the findings regarding looping to cognitive strategies in programming in general.";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;1;;;
Michael F.;Soloway1984a;Empirical Studies of Programming Knowledge;IEEE Transactions on Software Engineering;1984;;;;1;;;;;;;;;;;;;;Programming knowledge;"correctness
";task correctness;deeper understanding of programming knowledge;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
Michael F.;Soloway1984b;A Cognitively-Based Methodology for Designing Languages/Environments/Methodologies;ACM SIGPLAN Notices;1984;;;;1;;;;;;;;;;;;;;Cognitive fit;;;improvement of language design by reducing difficulty of specific concepts;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Michael U.;Sonnentag1994;Stress or-burnout relationship in software development teams;Journal of Occupational and Organizational Psychology;1994;;1;1;1;1;1;;1;;;;;;;;;;Cognitive exhaustion;Stress and burnout;Questionnaires;Central to the paper and purpose of the study;;1;;1;;;;Not sure how to describe this... maybe a data point to a not yet formulated theory?;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Robert;Stacy1995;Cognitive Bias in Software Engineering;Communications of the ACM;1995;1;;1;;1;;;1;1;;;;;;;;;Cognitive bias;N/A;N/A;Central to paper. But it is a lit overview, not empirical.;1;;;;;;1;Overview of cognitive biases in SE.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael F.;Storey1999;Cognitive design elements to support the construction of a mental model during software exploration;Journal of Systems and Software;1999;;;1;1;;;;;;;;;;;;;"Cognitive Design Elements
Program comprehension models (bottom-up program comprehension, top-down program comprehension, knowledge-based understanding model, systematic and as-needed program understanding strategies) ";"Cognitive design elements
Program comprehension
Cognitive overhead";;;support for design of software exploration tools;;;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Fabian F.;Storrle2011;On the impact of layout quality to understanding UML diagrams;2011 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC);2011;;1;;;;;;;;1;;;;;;;Cognitive load;;"Comprehension accuracy
Comprenehsion speed
Preference";Questionnaire (both objective observations and subjective assessment by participants);Central to the study;1;;;1;;;;"""Good"" UML diagram layouts were found to have a significant effect on cognitive load as measured by comprehension accuracy, comprehension speed, and preference.";1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Robert;Storrle2013;MOCQL: A declarative language for ad-hoc model querying;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2013;;;1;;;;;;;;;;;;;;;Cognitive load;N/A;Not based on existing theory, participants subjectively assessed on 5-point Likert scale: Understandability, Effort, Confidence. Presumably Effort is most related to cognitive load?!;Unclear since measurements taken are not clearly connected to cognitive load;1;1;;1;;;;Quite superficial connection to cognitive load. Measures time taken and subjectively required effort.;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Michael U.;Storrle2016;On the impact of size to the understanding of UML diagrams;Software and Systems Modeling;2016;;1;;;;;;;;1;;;;;;;Gestalt laws;Cognitive load, cogntitive process;Cognitive load;Scale 1..5 for question difficulty and diagram difficulty. Measures are not so clear as questionnaire is not shown. Maybe in previous paper.;Not the main aspect of the paper;1;;;1;;;;This paper is borderline because it does not explain ANY of the performance measures (one of which is cognitive load) used in the experiment. The paper refers to a previous paper (Störrle2012) in which the experiment was conducted. If we include that paper, and there the measures are explained, we probably should exclude this one.;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Michael F.;Swan2005;An empirical study of factors that affect user performance when using UML interaction diagrams;2005 International Symposium on Empirical Software Engineering, ISESE 2005;2005;;;1;;;;;;;;;;;;;;;Cognitive Style;;;cognitive style independent variable for user performance in using UML interaction diagrams;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;1;;;
Robert;Syn2013;Improving sequence diagram modeling performance: A technique based on Chunking, Ordering, and Patterning;Journal of Database Management;2013;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Robert;Tang2011;Software designers, are you biased?;Proceedings - International Conference on Software Engineering;2011;;;1;;;;;;;;;;;;;;;Cognitive bias;N/A;N/A;Basis for review and discussion in paper.;1;;;;;1;;Discussion/review paper on indications that devlopers are biased.;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Michael F.;Teasley1994;The effects of naming style and expertise on program comprehension;International Journal of Human - Computer Studies;1994;;;;1;;;;;;;;;;;;;Pennington's Model of Program Comprehension;Program Comprehension;Understanding of Functions, Control Flow, Data Flow, State, Operations;Questionnaire on Program Comprehension;Understanding of program comprehension;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;
Michael U.;Teasley1994;Why software testing is sometimes ineffective: Two applied studies of positive test strategy;Journal of Applied Psychology;1994;;;;;1;;;;;;;;;;;;;Confirmation bias;Proportion between test sets that use data that confirms/not confirms the test hypothesis;Task based;Side aspect, but througout the paper;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
Michael U.;Tegarden2001; Cognitive activities in OO development ;International Journal of Human-Computer Studies;2001;;;1;;;;;;;;;;;;;;;Cognitive activities related to problem understanding, decomposition and solution development;None defined;Cognitive mapping with Self-Q technique (development of a group cognitive map that was analyzed by givens means ends analysis) ;Central to the paper;1;;;1;;;;This is basically the same paper, authors reversed, published in two different venues, by Sheetz2001;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1;;;;;;;;1;;;;;;;
Robert;Tessem1997;Analogy and complex software modeling;Computers in Human Behavior;1997;1;;1;1;;;;;;;;;;;;;Theories for human problem solving, Theories for memory retreival of similar situations;;;;Critical to the design of their tool, it is based on reuse by identifying analogies between old design/system and new one.;1;;;;;1;;Motivation for their project/approach.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bogdan M.;Thummadi2011;Quality in Requirements Engineering (RE) Explained Using Distributed Cognition: A Case of Open Source Development;Working Papers on Information Systems;2011;1;1;;;;;;;;;;;;;;;Distributed cognition (Hutchins);Social, Structural, and Temporal distributed cognition;;;Central to the paper;;;;;;1;;The paper proposes a qualitative analysis of forums for open source projects from the perspective of distributed cognition. A coding schema is presented (with examples) but no results of such an analysis are mentioned.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Robert;Toomim2004;Managing duplicated code with linked editing;Proceedings - 2004 IEEE Symposium on Visual Languages and Human Centric Computing;2004;;;;1;;;;;;;;;;;;;"Green & Blackwell ""Abstract thinking is hard""";Cognitive cost;"Not really, indirectly measured via time to complete task and subjectively assessed ""Effort"".";Objective time measurement + Likert scale questionnaire.;Basis for proposed tool.;1;;;1;;;;New editing tool which aims to reduce cognitive load and indirectly seems to do it since some tasks are faster and regarded as requireing less effort.;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;
Bogdan M.;Tracz1979;Computer programming and the human thought process;Software: Practice and Experience;1979;;;;1;;;;;;;;;;;;;;;;;;1;;;;;1;;The paper appears to propose psychological foundations for the programming practice. No validation is attempted.;1;1;;;;1;1;1;1;;;;;;;;;;;;;1;1;1;1;1;1;;1;;1;;;;;;;;;;;;;;;
Bogdan M.;Treude2010;Awareness 2.0: Staying aware of projects, developers and tasks using dashboards and feeds;Conference on Software Engineering;2010;1;;;;;;;1;1;;;;;;;;;;;;;;1;;1;;;;The paper mostly identifies the impact (especially benefits) of dashboards and feeds. There is no cognitive measure being assessed. Awareness is mentioned, but not measured in any way. ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael U.;Tudoreanu2003;Designing Effective Program Visualization Tools for Reducing User's Cognitive Effort;Proceedings of ACM Symposium on Software Visualization;2003;;;;;1;;;;;;;;;;;;;Cognitive economy: minimize cognitive load while maximizing information pertinent to the user problem.;None;There is some limited discussion about two experiments but it is unclear what the participants were and how many. Their task performance was evaluated, answering questions related to a program, but it is unclear what they had to do and what the questions were...;Central to the paper.;;;1;;;;;"Paper is not very clear about WHY they visualize program execution. Yes, for the user to do something, but WHAT? The only hint is how the keywords/CR categories of the paper: Testing and Debugging.

This is a borderline paper: a task, debugging, is supported by a visualization of program execution. The research is about how to make this visualization with low congitive load while informative. All design decisions are argumentatively tied to theory but there's little to no empirical evaluation.";1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
Michael F.;Unkelos-Shpigel2015;Gamifying software development environments using cognitive principles;CEUR Workshop Proceedings;2015;1;;;1;;;;;;;;;;;;;"Self Determination Theory
Theory of FlowGroup 
Flow Theory";;;;Cognitive principles provide basis for gamification;;;1;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Urbach2010;Extending the job design perspective on individual innovation: Exploring the effect of group reflexivity;Journal of Occupational and Organizational Psychology;2010;1;;;;;;;;;;;1;;;;;;Job design (esp. role of work and task characteristics for innovation activities);"Ideation
Implementation
Task complexity
Method control
Group reflexivity";Questionnaire;Central to the study;;1;;1;;;;This paper finds that job design has a positive effect on individual innovation. In teams, the positive effect of job control is augmented in the presence of high reflexivity, while task complexity is negatively associated with innovation in teams with high reflexivity. The study was performed with software developers and their managers as participants.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael F.;Vasilescu2016;The sky is not the limit: Multitasking across github projects;Proceedings - International Conference on Software Engineering;2016;;;;1;;;;;;;;;;;;;;Cognitive cost;Multitasking;"Measreument of Average Projects Per Day to which Programmer commits
Reasons for multitasking
Productivity effects";;;1;;1;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;
Bogdan M.;Vessey1985;Expertise in debugging computer programs: a process analysis;Journal of Man–Machine Studies;1985;;;;;;1;;;;;;;;;;;;Chunking. ;"Verbalization.
Chunking: debugging functions, flow of problem solving approaches. 
";"Time taken, number of words uttered, vebalization rate
Total time, time to error, number of major phases, number of episodes, avg time per episode
System thinking, depth-first search for error, order of investigated modules.";;;;1;1;;;;"The paper uses chunking, as interpreted by participant behavior when debugging, to indentify differences between experts and novices. The conclusions are that experts use breadth-first approaches and have a system view. They are also more proficient at chunking (concluded because of the ""smooth-flowing apporaches to problem-solving"".";1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;
Fabian F.;vonMayrhauser1993a;From program comprehension to tool requirements for an industrial environment;Proceedings of the 2nd Workshop on Program Comprehension;1993;;;;;;1;;;;;;;;;;;;"Code comprehension
- Theory/model of code comprehension formed by combining existing theories/models and empirical results";Verification of proposed model of code comprehension;Think aloud protocol during code comprehension task with real industry code that participants were familiar with;"Central to the study
The study contributes to the development of the cognitive aspect (model of code comprehension)";;1;;1;;;;The paper investigates code comprehension. It constructs a model/theory of code comprehension based on several existing models/theories and empirical results. The integrated code comprehension model includes the components 1) Program Model, 2) Situation Model, 3) Top-Down Model (Domain Model), and 4) Knowledge Base. The first three are comprehension processes while the third is necessary for building the first three (the individual builds the three models in their mind). The paper validates the model by using a think-aloud protocol to observe industry practitioners performing code comprehension tasks on real industry code. The paper finds that participants worked on all three model levels and that switches between model levels can occur as the result of the maintenance engineer generating hypotheses regarding the code while trying to comprehend it. The paper proposes capabilities that tools should have to support comprehension.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;1;;;;;;
Fabian F.;vonMayrhauser1994;Comprehension processes during large scale maintenance;Proceedings of the 16th International Conference on Software Engineering;1994;;;;;;1;;;;;;;;;;;;"Code comprehension
- Theory/model of code comprehension by vonMayrhauser1993a";Verification of proposed model of code comprehension;Think aloud protocol during code comprehension task with real industry code that participants were familiar with;"Central to the study
The study contributes to the development of the cognitive aspect (model of code comprehension)";;1;;1;;;;The paper investigates code comprehension. It uses a model of code comprehension developed by the same authors (vonMayrhausen1993b). The paper validates the model by using a think-aloud protocol to observe industry practitioners performing code comprehension tasks on real industry code. The paper finds several episodes that consist of cognitive steps that participants take while navigating the code they are to comprehend. Differences and similarities between participants are described and discussed. The paper finds that 1. programmers use a multi-level approach to comprehension, frequently switching between comprehension models, 2. maintenance activities can be described by a distinct small set of cognition processes which aggregate into higher level processes, and 3. current practice of documentation and coding does not encourage efficient understanding because knowledge is compartmentalised by type of document without the cross-references needed to support programmers' cognitive needs. The paper derives information needs from the observations and proposes capabilities that tools should have to support comprehension.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;1;;;;;;
Michael F.;vonMayrhauser1996a;On the Role of Program Understanding in Re-engineering Tasks;IEEE Aerospace Applications Conference;1996;;;;1;;1;;;;;;;;;;;Code Comprehension Model;"Long-Term Memory
Knowledge Structure
Program comprehension
Cognitive load
Cognitive process";reengineering task frequencies;;program understanding to imporve reengineering tasks based on cognitive processes;;1;;1;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;
Michael F.;vonMayrhauser1996b;On the Role of Hypotheses during Opportunistic Understanding While Porting Large Scale Code;IEEE International Conference on Program Comprehension, ICPC;1996;;;;1;;1;;;;;;;;;;;;"Program comprehension
Cognitive load
Cognitive process";task frequencies;;Investigation of importance of goals and hypotheses for program understanding;;1;;1;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
Michael F.;vonMayrhauser1996c;Identification of Dynamic Comprehension Processes During Large Scale Maintenance;IEEE Transactions on Software Engineering;1996;;;;1;;1;;;;;;;;;;;Code Comprehension Model;"Long-Term Memory
Knowledge Structure
Program comprehension
Cognitive load
Cognitive process";;audio recording;understanding of comprehension processes during maintenance;;1;;1;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;
Michael U.;VonMayrhauser1997;Program understanding behaviour during enhancement of large-scale software;Journal of Software Maintenance: Research and Practice;1997;;;;;;1;;;;;;;;;;;Integrated Comprehension model (theory on how programmers try to understand code);Short/Long term memory, understanding process;There are no measures but the actions of programmers are classified and quantified in order to describe understanding process patterns.;Task based (protocol analysis of recorded actions performed by observed subjects);Central to the paper.;;1;;1;;;;This is a good example of task-based evaluation of cognitive processes. Based on the observed behavior, mapped to a model of program comprehension, descriptions of the cognitive processes are generated.;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Michael F.;vonMayrhauser1997a;Program Understanding Needs During Corrective Maintenance of Large Scale Software;IEEE Computer Software and Applications Conference, COMPSAC;1997;;;;1;;1;;;;;;;;;;;Code Comprehension Model;"Long-Term Memory
Knowledge Structure
Program comprehension
Cognitive load
Cognitive process";;audio recording;understanding of comprehension processes during maintenance;;1;;1;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;
Michael F.;vonMayrhauser1997b;Hypothesis-Driven Understanding Processes During Corrective Maintenance of Large Scale Software;IEEE International Conference on Software Maintenance, ICSM;1997;;;;1;;1;;;;;;;;;;;Code Comprehension Model;"Long-Term Memory
Knowledge Structure
Program comprehension
Cognitive load
Cognitive process";;audio recording;understanding of comprehension processes during maintenance;;1;;1;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;
Michael F.;Walenstein2003;Observing and Measuring Cognitive Support: Steps Toward Systematic Tool Evaluation and Engineering;IEEE International Workshop on Program Comprehension, IWPC;2003;;;;1;;;;;;;;;;;;;Distributed Cognition Theories;"Cognitive support
Program comprehension";;"screen recording software
activity recording";"Analysis of cognitive support
Insights into how programmers and tools cooperate";;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1
Fabian F.;Walia2013;Using error abstraction and classification to improve requirement quality: Conclusions from a family of four empirical studies;Empirical Software Engineering;2013;;1;;;;;;;;;;;;;;;;Cognitive errors;Errors and faults found (absolute amount and amount over time);Evaluation of proposed method in selected tasks;Central to parts of the study;1;;;1;;;;The paper contributes a formal requirement error taxonomy that helps developers identify errors and faults. The taxonomy is partly constructed based on cognitive psychology literature and includes errors that originate from cognitive errors (i.e. errors that arise due to limited information processing capabilities of humans). The error identification approach was found to effectively identify faults.;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;
